chain,slug,source_rank,readiness_rank,total_score,asset-registry_status,asset-registry_weighted_contribution,compliance_status,compliance_weighted_contribution,oracles_status,oracles_weighted_contribution,settlement_status,settlement_weighted_contribution
Ethereum,ethereum,1,1,8.5,available,3.0,partial,1.5,available,2.0,available,2.0
Avalanche,avalanche,6,2,7.5,available,3.0,partial,1.5,partial,1.0,available,2.0
Plume,plume,19,3,7.5,available,3.0,partial,1.5,available,2.0,partial,1.0
Arbitrum,arbitrum,5,4,7.0,partial,1.5,partial,1.5,available,2.0,available,2.0
Base,base,3,5,7.0,partial,1.5,partial,1.5,available,2.0,available,2.0
Polygon,polygon,8,6,7.0,partial,1.5,partial,1.5,available,2.0,available,2.0
Hedera,hedera,18,7,6.5,partial,1.5,available,3.0,partial,1.0,partial,1.0
Optimism,optimism,15,8,6.0,partial,1.5,partial,1.5,partial,1.0,available,2.0
Gnosis,gnosis,16,9,5.0,partial,1.5,partial,1.5,partial,1.0,partial,1.0
BNB Chain,bnb-chain,2,10,4.5,partial,1.5,missing,0.0,partial,1.0,available,2.0
Cronos,cronos,13,11,3.5,partial,1.5,missing,0.0,partial,1.0,partial,1.0
Ink,ink,10,12,3.5,partial,1.5,missing,0.0,partial,1.0,partial,1.0
Linea,linea,17,13,3.5,partial,1.5,missing,0.0,partial,1.0,partial,1.0
Mantle,mantle,9,14,3.5,partial,1.5,missing,0.0,partial,1.0,partial,1.0
Monad,monad,11,15,3.5,partial,1.5,missing,0.0,partial,1.0,partial,1.0
Sonic,sonic,29,16,3.5,partial,1.5,missing,0.0,partial,1.0,partial,1.0
AILayer,ai-layer,25,17,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Berachain,berachain,14,18,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Bitlayer,bitlayer,22,19,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
BOB,bob,23,20,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Ethereal,ethereal,27,21,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Fraxtal,fraxtal,30,22,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Hemi,hemi,28,23,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Katana,katana,7,24,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
MegaETH,megaeth,21,25,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Mode,mode,26,26,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Plasma,plasma,4,27,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Rootstock,rootstock,20,28,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Scroll,scroll,12,29,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
Unichain,unichain,24,30,2.0,missing,0.0,missing,0.0,partial,1.0,partial,1.0
